Date,Open,High,Low,Close,Volume
08/28/2024,1507.0,1507.5,1492.7,1497.9,102196.0
08/27/2024,1511.5,1512.6,1499.0,1500.2,145120.0
08/26/2024,1507.5,1523.1,1502.7,1512.1,390180.0
08/23/2024,1507.7,1511.3,1498.1,1500.0,1050992.0
08/22/2024,1500.7,1505.9,1490.7,1497.6,386964.0
08/21/2024,1492.5,1507.9,1490.0,1498.3,180722.0
08/20/2024,1493.1,1503.8,1490.5,1496.7,623600.0
08/19/2024,1483.7,1498.2,1481.5,1488.6,184640.0
08/16/2024,1466.7,1480.5,1458.3,1478.1,1246510.0
08/14/2024,1463.3,1471.7,1454.0,1461.3,114174.0
08/13/2024,1462.5,1470.0,1457.8,1463.5,2972016.0
08/12/2024,1466.2,1473.0,1458.1,1460.8,292948.0
08/09/2024,1463.9,1477.0,1456.0,1474.2,762512.0
08/08/2024,1461.5,1463.6,1446.1,1447.8,354424.0
08/07/2024,1472.9,1473.1,1461.5,1464.6,244546.0
08/06/2024,1450.6,1477.7,1450.6,1455.9,388270.0
08/05/2024,1475.0,1480.1,1432.9,1447.4,494328.0
08/02/2024,1500.2,1509.2,1492.9,1499.2,1224924.0
08/01/2024,1511.9,1518.5,1504.9,1515.9,139732.0
07/31/2024,1507.0,1510.5,1501.6,1505.1,125328.0
07/30/2024,1517.4,1525.0,1510.6,1512.8,291482.0
07/29/2024,1520.0,1527.0,1512.7,1520.4,119056.0
07/26/2024,1499.4,1513.0,1491.0,1508.9,1542328.0
07/25/2024,1480.5,1500.6,1477.4,1491.3,174744.0
07/24/2024,1482.4,1510.0,1476.9,1495.3,328478.0
07/23/2024,1502.5,1506.4,1463.6,1487.8,527728.0
07/22/2024,1535.1,1536.7,1499.4,1500.6,380146.0
07/19/2024,1587.5,1589.5,1552.1,1554.8,1147710.0
07/18/2024,1576.0,1593.3,1558.1,1585.2,312500.0
07/16/2024,1596.2,1600.0,1569.1,1575.7,118312.0
07/15/2024,1600.1,1605.7,1585.5,1596.9,318492.0
